,Unnamed: 0,Cand_Name,Cand_Office_St,STATE,Cand_Office_Dist_x,Cand_Office_Dist_y,D,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,seat_transition,FEC ID#,GE WINNER INDICATOR,Combined totals,Combined %
0,0,"COX, JOHN R.",AK,Alaska,0.0,1.0,0.0,REP,2010.0,,27.0,REP,0.503333091,0.0,0.32569000000000004,1.0,0.38,False,64576.0,6.0,6.25,78.1,1001015.37,887310.33,4.0,H0AK00097,,,
1,1,"CRAWFORD, HARRY T JR",AK,Alaska,0.0,1.0,0.0,DEM,2010.0,,27.0,REP,0.451463551,0.0,0.32569000000000004,1.0,0.38,True,64576.0,200.0,100.0,78.1,240439.24,235571.43,4.0,H0AK00089,,,
2,2,"FISHER, SHELDON ALLRED",AK,Alaska,0.0,1.0,0.0,REP,2010.0,,27.0,REP,0.503333091,0.0,0.32569000000000004,1.0,0.38,False,64576.0,500.0,23.39,78.1,1001015.37,887310.33,4.0,H0AK01038,,,
3,3,"YOUNG, DONALD E",AK,Alaska,0.0,1.0,0.0,REP,2010.0,,27.0,REP,0.503333091,1.0,0.32569000000000004,1.0,0.38,False,64576.0,42.0,70.35,78.1,1001015.37,887310.33,4.0,H6AK00045,W,175384.0,0.6895787052509486
4,4,"BONNER, JO",AL,Alabama,1.0,1.0,1.0,REP,2010.0,0.390788721,20.5,REP,1.0,1.0,0.32626,1.0,0.41,False,41172.0,500.0,75.25,79.8,913052.62,1101701.0,4.0,H2AL01077,W,129063.0,0.8258393534722711
5,5,"GOUNARES, PETER HUNTER",AL,Alabama,1.0,1.0,1.0,REP,2010.0,0.390788721,20.5,REP,1.0,0.0,0.32626,1.0,0.41,False,41172.0,55.0,24.75,79.8,913052.62,1101701.0,4.0,H0AL01030,,,
6,6,"WALTER, DAVID MARSH",AL,Alabama,1.0,1.0,1.0,CON,2010.0,0.390788721,20.5,REP,0.0,0.0,0.32626,1.0,0.41,False,41172.0,4.0,,79.8,,,4.0,H0AL01048,,,
7,7,"BARBER, RICK JOE",AL,Alabama,2.0,2.0,2.0,REP,2010.0,0.407023755,19.3,REP,0.496880946,0.0,0.35261,1.0,0.41,False,40567.0,16.0,28.51,80,1253557.11,1240275.64,4.0,H0AL02103,,,
8,8,"BELL, STEPHANIE WOLFE",AL,Alabama,2.0,2.0,2.0,REP,2010.0,0.407023755,19.3,REP,0.496880946,0.0,0.35261,0.0,0.41,False,40567.0,9.0,18.46,80,1253557.11,1240275.64,4.0,H0AL02111,,,
9,9,"BRIGHT SR, BOBBY NEAL",AL,Alabama,2.0,2.0,2.0,DEM,2010.0,0.407023755,19.3,REP,0.503119054,0.0,0.35261,1.0,0.41,True,40567.0,500.0,,80,1413031.76,1435526.44,4.0,H8AL02130,,,
10,10,"JOHN, ROBERT E JR",AL,,2.0,2.0,,IND,2010.0,0.407023755,19.3,REP,0.0,0.0,0.35261,1.0,0.41,False,40567.0,7.0,,80,,,4.0,,,,
11,11,"LAYFIELD, MARK",AL,,3.0,3.0,,IND,2010.0,0.456924713,19.5,REP,0.0,0.0,0.35445,1.0,0.41,False,35452.0,18.0,,79.34211,,,0.0,,,,
