,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist_x,Cand_Office_Dist_y,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,seat_transition
0,0,"CUMINGS, CHRISTOPHER CHARLES",AK,0.0,1.0,NPA,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,False,73181.0,2,8.0,76.1,,,0.0
1,1,"FITCH, GREGORY FITCH MR",AK,0.0,1.0,NPA,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,False,73181.0,29,,76.1,,,0.0
2,2,"GALVIN, ALYSE",AK,0.0,1.0,IND,2018,,28.8,IND,0.0,0,0.35812,0.0,0.48,False,73181.0,500,54.1,76.1,,,0.0
3,3,"HAFNER, CAROL",AK,0.0,1.0,DEM,2018,,28.8,IND,0.0,0,0.35812,0.0,0.48,False,73181.0,130,14.8,76.1,1180622.04,906116.91,0.0
4,4,"HILL, SIDNEY I.",AK,0.0,1.0,IND,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,False,73181.0,500,,76.1,,,0.0
5,5,"NELSON, THOMAS JOHN",AK,0.0,1.0,REP,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,True,73181.0,20,15.4,76.1,1003579.47,960955.52,0.0
6,6,"SHEIN, DIMITRI",AK,0.0,1.0,DEM,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,False,73181.0,500,23.1,76.1,1180622.04,906116.91,0.0
7,7,"WHITTAKER, JED",AK,0.0,1.0,REP,2018,,28.8,IND,0.0,0,0.35812,1.0,0.48,True,73181.0,500,13.7,76.1,1003579.47,960955.52,0.0
8,8,"YOUNG, DONALD E",AK,0.0,1.0,REP,2018,,28.8,IND,0.0,1,0.35812,1.0,0.48,True,73181.0,42,70.9,76.1,1003579.47,960955.52,0.0
9,9,"ARRAS, JENNIFER O'FARRILL MRS.",AL,1.0,1.0,DEM,2018,0.352134031,23.3,REP,0.0,0,0.32747,0.0,0.62,False,47984.0,1,,74.3,76091.03,31564.26,0.0
10,10,"BYRNE, BRADLEY ROBERTS",AL,1.0,1.0,REP,2018,0.352134031,23.3,REP,1.0,1,0.32747,1.0,0.62,True,47984.0,57,100.0,74.3,1235570.11,645776.76,0.0
11,11,"KENNEDY, ROBERT JR.",AL,1.0,1.0,DEM,2018,0.352134031,23.3,REP,0.0,0,0.32747,1.0,0.62,False,47984.0,7,80.8,74.3,76091.03,31564.26,0.0
12,12,"MCCONNELL, LIZZETTA HILL",AL,1.0,1.0,DEM,2018,0.352134031,23.3,REP,0.0,0,0.32747,1.0,0.62,False,47984.0,500,19.2,74.3,76091.03,31564.26,0.0
13,13,"AMASON, THOMAS MARRION III",AL,2.0,2.0,REP,2018,0.380884473,21.8,REP,0.5463448329999999,0,0.35441,1.0,0.62,True,46579.0,20,6.1,76.3,2479632.21,2065173.18,0.0
14,14,"BRIGHT, BOBBY NEAL SR.",AL,2.0,2.0,REP,2018,0.380884473,21.8,REP,0.5463448329999999,0,0.35441,1.0,0.62,True,46579.0,93,28.1,76.3,2479632.21,2065173.18,0.0
15,15,"HOBSON, RICH",AL,2.0,2.0,REP,2018,0.380884473,21.8,REP,0.5463448329999999,0,0.35441,1.0,0.62,True,46579.0,500,7.5,76.3,2479632.21,2065173.18,0.0
16,16,"ISNER, TABITHA KAY",AL,2.0,2.0,DEM,2018,0.380884473,21.8,REP,0.453655167,0,0.35441,0.0,0.62,False,46579.0,500,60.4,76.3,405460.57,267916.56,0.0
17,17,"MOORE, FELIX BARRY",AL,2.0,2.0,REP,2018,0.380884473,21.8,REP,0.5463448329999999,0,0.35441,1.0,0.62,True,46579.0,500,19.3,76.3,2479632.21,2065173.18,0.0
18,18,"ROBY, MARTHA",AL,2.0,2.0,REP,2018,0.380884473,21.8,REP,0.5463448329999999,1,0.35441,0.0,0.62,True,46579.0,161,39.0,76.3,2479632.21,2065173.18,0.0
19,19,"WILLIAMS, AUDRI SCOTT 1955",AL,2.0,2.0,DEM,2018,0.380884473,21.8,REP,0.453655167,0,0.35441,0.0,0.62,False,46579.0,500,39.6,76.3,405460.57,267916.56,0.0
20,20,"CASSON, THOMAS SICK OF D.C.",AL,3.0,3.0,IND,2018,0.4049955670000001,21.2,REP,0.0,0,0.31324,1.0,0.62,False,46484.0,20,,76.6,,,4.0
21,21,"HAGAN, MALLORY",AL,3.0,3.0,DEM,2018,0.4049955670000001,21.2,REP,0.32912403100000004,0,0.31324,0.0,0.62,False,46484.0,500,65.8,76.6,326639.05,302355.16,4.0
22,22,"ROGERS, MICHAEL",AL,3.0,3.0,REP,2018,0.4049955670000001,21.2,REP,0.670875969,1,0.31324,1.0,0.62,True,46484.0,1,100.0,76.6,1185228.39,610499.06,4.0
23,23,"SMITH, JESSE T",AL,3.0,3.0,DEM,2018,0.4049955670000001,21.2,REP,0.32912403100000004,0,0.31324,1.0,0.62,False,46484.0,66,,76.6,326639.05,302355.16,4.0
24,24,"WINFREY, ADIA MCCLELLAN DR",AL,3.0,3.0,DEM,2018,0.4049955670000001,21.2,REP,0.32912403100000004,0,0.31324,0.0,0.62,False,46484.0,500,34.2,76.6,326639.05,302355.16,4.0
25,25,"ADERHOLT, ROBERT B. REP.",AL,4.0,4.0,REP,2018,0.215546212,16.3,REP,1.0,1,0.13330999999999998,1.0,0.62,True,43218.0,7,81.5,76.06,1452763.64,834621.99,4.0
26,26,"AUMAN, JAMES LEE",AL,4.0,4.0,DEM,2018,0.215546212,16.3,REP,0.0,0,0.13330999999999998,1.0,0.62,False,43218.0,5,54.1,76.06,55672.52,45634.2,4.0
27,27,"BLACKMON, ANTHONY MR",AL,4.0,4.0,REP,2018,0.215546212,16.3,REP,1.0,0,0.13330999999999998,1.0,0.62,True,43218.0,22,18.5,76.06,1452763.64,834621.99,4.0
28,28,"MOSES, MIKE",AL,4.0,4.0,REP,2018,0.215546212,16.3,REP,1.0,0,0.13330999999999998,1.0,0.62,True,43218.0,1,,76.06,1452763.64,834621.99,4.0
29,29,"NEIGHBORS, RICKY ALLEN",AL,4.0,4.0,DEM,2018,0.215546212,16.3,REP,0.0,0,0.13330999999999998,1.0,0.62,False,43218.0,128,45.9,76.06,55672.52,45634.2,4.0
30,30,"NORRIS, PHILLIP",AL,4.0,4.0,REP,2018,0.215546212,16.3,REP,1.0,0,0.13330999999999998,1.0,0.62,True,43218.0,71,,76.06,1452763.64,834621.99,4.0
31,31,"BROOKS, MO",AL,5.0,5.0,REP,2018,0.326284363,30.5,REP,0.668447749,1,0.24224,1.0,0.62,True,54707.0,500,61.3,78.3,1421378.49,1824411.31,4.0
32,32,"CAIN, BRETT BUTLER",AL,5.0,5.0,DEM,2018,0.326284363,30.5,REP,0.331552251,0,0.24224,1.0,0.62,False,54707.0,94,,78.3,488944.9,365026.25,4.0
33,33,"HINCHMAN, ROBERT CLAYTON MR",AL,5.0,5.0,GOP,2018,0.326284363,30.5,REP,0.0,0,0.24224,1.0,0.62,False,54707.0,7,38.7,78.3,,,4.0
34,34,"HOLTZCLAW, WILLIAM LOVETTE",AL,5.0,5.0,REP,2018,0.326284363,30.5,REP,0.668447749,0,0.24224,0.0,0.62,True,54707.0,9,,78.3,1421378.49,1824411.31,4.0
35,35,"JOFFRION, PETER S.",AL,5.0,5.0,DEM,2018,0.326284363,30.5,REP,0.331552251,0,0.24224,1.0,0.62,False,54707.0,55,100.0,78.3,488944.9,365026.25,4.0
36,36,"SWEENEY, TERRENCE MICHAEL",AL,5.0,5.0,REP,2018,0.326284363,30.5,REP,0.668447749,0,0.24224,1.0,0.62,True,54707.0,195,,78.3,1421378.49,1824411.31,4.0
37,37,"KLINE, DANNER",AL,6.0,6.0,DEM,2018,0.424078668,35.2,REP,0.252320814,0,0.21697,1.0,0.62,False,65170.0,500,100.0,78.3,256383.23,161621.12,0.0
38,38,"PALMER, GARY",AL,6.0,6.0,REP,2018,0.424078668,35.2,REP,0.7476791859999999,1,0.21697,1.0,0.62,True,65170.0,47,100.0,78.3,1098673.97,772846.87,0.0
39,39,"RICE, RICHARD BRAND NEW",AL,7.0,7.0,DEM,2018,0.545118589,19.1,REP,1.0,0,0.66866,1.0,0.62,False,35988.0,16,,77.04737,1592201.45,868548.99,0.0
40,40,"SEWELL, TERRI A.",AL,7.0,7.0,DEM,2018,0.545118589,19.1,REP,1.0,1,0.66866,0.0,0.62,False,35988.0,148,100.0,77.04737,1592201.45,868548.99,0.0
42,42,"CRAWFORD, ERIC ALAN RICK",AR,1.0,1.0,REP,2018,0.345055018,15.7,REP,0.76511694,1,0.2275,1.0,0.54,True,41143.0,14,100.0,78.4,948321.16,738143.63,4.0
43,43,"DESAI, CHINTAN",AR,1.0,1.0,DEM,2018,0.345055018,15.7,REP,0.0,0,0.2275,1.0,0.54,False,41143.0,500,100.0,78.4,108134.55,82376.61,4.0
44,44,"PRESLEY, ELVIS",AR,1.0,1.0,LIB,2018,0.345055018,15.7,REP,0.23488306,0,0.2275,1.0,0.54,False,41143.0,500,,78.4,,,4.0
45,45,"BURCH, NATASHIA",AR,2.0,2.0,IND,2018,0.44301526,28.4,REP,0.0,0,0.29367,0.0,0.54,False,51287.0,500,,77.2,,,4.0
46,46,"COMBS, GWENDOLYNN MILLEN MRS.",AR,2.0,2.0,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,0.0,0.54,False,51287.0,500,20.3,77.2,1670546.59,1440062.32,4.0
47,47,"DUNKLEY, JONATHAN",AR,2.0,2.0,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,1.0,0.54,False,51287.0,32,9.4,77.2,1670546.59,1440062.32,4.0
48,48,"HILL, JAMES FRENCH",AR,2.0,2.0,REP,2018,0.44301526,28.4,REP,0.584203612,1,0.29367,1.0,0.54,True,51287.0,5,100.0,77.2,2550302.98,1734904.37,4.0
49,49,"SPENCER, PAUL JOHN MR.",AR,2.0,2.0,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,1.0,0.54,False,51287.0,27,12.5,77.2,1670546.59,1440062.32,4.0
50,50,"SWAFFORD, JOE RYNE",AR,2.0,2.0,LIB,2018,0.44301526,28.4,REP,0.047396462,0,0.29367,1.0,0.54,False,51287.0,107,,77.2,,,4.0
51,51,"TUCKER, EVERETT CLARKE IV",AR,2.0,2.0,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,1.0,0.54,False,51287.0,500,57.8,77.2,1670546.59,1440062.32,4.0
52,52,"KALAGIAS, MICHAEL J",AR,3.0,3.0,LIB,2018,0.32138274,25.6,REP,0.226639621,0,0.17109000000000002,1.0,0.54,False,51335.0,1,,77.7,,,4.0
53,53,"MAHONY, JOSH",AR,3.0,3.0,DEM,2018,0.32138274,25.6,REP,0.0,0,0.17109000000000002,1.0,0.54,False,51335.0,500,100.0,77.7,214334.74,198947.83,4.0
54,54,"MOODY, JOSH",AR,3.0,3.0,IND,2018,0.32138274,25.6,REP,0.0,0,0.17109000000000002,1.0,0.54,False,51335.0,500,,77.7,,,4.0
55,55,"RYERSE, ROBERT",AR,3.0,3.0,REP,2018,0.32138274,25.6,REP,0.7733603790000001,0,0.17109000000000002,1.0,0.54,True,51335.0,7,16.2,77.7,1049764.2,1019266.54,4.0
56,56,"TATE, JASON",AR,3.0,3.0,OTH,2018,0.32138274,25.6,REP,0.0,0,0.17109000000000002,1.0,0.54,False,51335.0,3,,77.7,,,4.0
57,57,"WOMACK, STEVE",AR,3.0,3.0,REP,2018,0.32138274,25.6,REP,0.7733603790000001,1,0.17109000000000002,1.0,0.54,True,51335.0,159,83.8,77.7,1049764.2,1019266.54,4.0
58,58,"BARRETT, MICHAEL",AR,4.0,4.0,LIB,2018,0.321191108,16.1,REP,0.25101486300000003,0,0.25909,1.0,0.54,False,40903.0,1,,78.1,,,0.0
59,59,"CALDWELL, RANDY",AR,4.0,4.0,REP,2018,0.321191108,16.1,REP,0.748985137,0,0.25909,1.0,0.54,True,40903.0,77,20.1,78.1,1511869.85,817718.03,0.0
60,60,"CANADA, TOM",AR,4.0,4.0,LIB,2018,0.321191108,16.1,REP,0.25101486300000003,0,0.25909,1.0,0.54,False,40903.0,20,,78.1,,,0.0
61,61,"DAVIS, RICHARD HARRISON JR",AR,4.0,4.0,DEM,2018,0.321191108,16.1,REP,0.0,0,0.25909,1.0,0.54,False,40903.0,16,,78.1,132264.52,108244.92,0.0
62,62,"FOSTER, JACK E",AR,4.0,4.0,IND,2018,0.321191108,16.1,REP,0.0,0,0.25909,1.0,0.54,False,40903.0,146,,78.1,,,0.0
63,63,"MARTIN, SUSANANN",AR,4.0,4.0,W,2018,0.321191108,16.1,REP,0.0,0,0.25909,0.0,0.54,False,40903.0,500,,78.1,,,0.0
64,64,"MCQUEEN, LEE",AR,4.0,4.0,IND,2018,0.321191108,16.1,REP,0.0,0,0.25909,1.0,0.54,False,40903.0,131,,78.1,,,0.0
65,65,"SHAMEL, HAYDEN CATHERINE",AR,4.0,4.0,DEM,2018,0.321191108,16.1,REP,0.0,0,0.25909,0.0,0.54,False,40903.0,500,100.0,78.1,132264.52,108244.92,0.0
66,66,"WESTERMAN, BRUCE",AR,4.0,4.0,REP,2018,0.321191108,16.1,REP,0.748985137,1,0.25909,1.0,0.54,True,40903.0,132,79.9,78.1,1511869.85,817718.03,0.0
70,70,"CAVANAUGH, KEVIN",AZ,1.0,1.0,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,1.0,0.47,True,50303.0,13,,74.5,0.0,0.0,4.0
71,71,"O'HALLERAN, TOM",AZ,1.0,1.0,DEM,2018,0.481411925,23.6,REP,0.508007604,1,0.3353,1.0,0.47,False,50303.0,20,100.0,74.5,2219418.25,1471073.54,4.0
72,72,"OLIVAS, MIGUEL",AZ,1.0,1.0,DEM,2018,0.481411925,23.6,REP,0.508007604,0,0.3353,1.0,0.47,False,50303.0,163,,74.5,2219418.25,1471073.54,4.0
73,73,"ROGERS, WENDY",AZ,1.0,1.0,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,0.0,0.47,True,50303.0,36,43.7,74.5,0.0,0.0,4.0
74,74,"SHEDD, TIFFANY",AZ,1.0,1.0,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,0.0,0.47,True,50303.0,42,18.5,74.5,0.0,0.0,4.0
75,75,"SMITH, STEVE",AZ,1.0,1.0,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,1.0,0.47,True,50303.0,159,37.8,74.5,0.0,0.0,4.0
76,76,"FOSTER, WILLIAM ABBOTT PHD",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,1.0,0.47,False,53516.0,9,,74.6,3677716.16,2662198.12,4.0
77,77,"HEINZ, MATTHEW GERALD",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,1.0,0.47,False,53516.0,10,30.6,74.6,3677716.16,2662198.12,4.0
78,78,"KIRKPATRICK, ANN",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,0.0,0.47,False,53516.0,100,41.4,74.6,3677716.16,2662198.12,4.0
79,79,"KOVACS, WILLIAM RICHARD",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,1.0,0.47,False,53516.0,9,6.1,74.6,3677716.16,2662198.12,4.0
80,80,"MARQUEZ PETERSON, LEA",AZ,2.0,2.0,REP,2018,0.5532440470000001,33.0,REP,0.566675891,0,0.18355,0.0,0.47,True,53516.0,500,33.6,74.6,1201455.28,1008233.28,4.0
81,81,"MARTIN, BRANDON RAY",AZ,2.0,2.0,REP,2018,0.5532440470000001,33.0,REP,0.566675891,0,0.18355,1.0,0.47,True,53516.0,52,29.1,74.6,1201455.28,1008233.28,4.0
82,82,"MATIELLA, MARIA MARY",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,0.0,0.47,False,53516.0,35,9.1,74.6,3677716.16,2662198.12,4.0
83,83,"MORALES, DANIEL ROMERO JR",AZ,2.0,2.0,REP,2018,0.5532440470000001,33.0,REP,0.566675891,0,0.18355,1.0,0.47,True,53516.0,12,15.9,74.6,1201455.28,1008233.28,4.0
84,84,"REILLY, JOSHUA 'JOSH'",AZ,2.0,2.0,GRE,2018,0.5532440470000001,33.0,REP,0.0,0,0.18355,1.0,0.47,False,53516.0,24,,74.6,,,4.0
85,85,"SHERRY, BARBARA LOUISE",AZ,2.0,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.433324109,0,0.18355,0.0,0.47,False,53516.0,76,2.6,74.6,3677716.16,2662198.12,4.0
